,Label,Kind,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Protezione della privacy,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
1,Educazione e sensibilizzazione del consumatore,Unknown,82.63598326359832,44.52054794520549,2.142857142857143,0.7142857142857143,2.142857142857143,26.9516827815128
2,Emissioni in atmosfera,Unknown,163.38912133891213,51.712328767123296,5.0,1.4285714285714286,5.0,78.96741732867534
3,Diversit e inclusione,Persone,26.569037656903767,90.41095890410958,1.4285714285714286,2.142857142857143,1.4285714285714286,45.143055437876754
4,Tutela del suolo e della biodiversit,Unknown,20.502092050209207,118.15068493150685,0.7142857142857143,4.285714285714286,0.7142857142857143,69.04798219969
5,Centralit e benessere del dipendente,Persone,169.6652719665272,153.76712328767124,5.714285714285714,5.714285714285714,5.714285714285714,11.241688739131
6,Sviluppo professionale dei dipendenti Creazione di valore per il territorio,Persone,130.7531380753138,108.21917808219177,2.857142857142857,3.5714285714285716,3.5714285714285716,15.93391591812296
7,Creazione di valore per il territorio,Unknown,130.7531380753138,93.83561643835617,2.857142857142857,2.857142857142857,2.857142857142857,26.10462989409384
8,Benessere degli animali,Unknown,280.5439330543933,172.94520547945206,8.571428571428571,6.428571428571429,8.571428571428571,76.0837899152849
9,"Trasparenza, tracciabilit e circolarit della filiera",Unknown,262.55230125523013,145.54794520547946,7.142857142857143,5.0,7.142857142857143,82.73457359114394
10,"Economia circolare, valorizzazione scarti e gestione rifiuti",Unknown,300.0,223.63013698630135,10.0,7.142857142857143,10.0,54.001648015274014
11,Gestione della risorse idriche,Unknown,143.72384937238493,242.8082191780822,4.285714285714286,7.857142857142858,4.285714285714286,70.06322979920412
12,Qualit del prodotto e attenzione al consumatore,Unknown,291.0041841004184,261.986301369863,9.285714285714286,8.571428571428571,9.285714285714286,20.51874165445174
13,Salute e sicurezza dei lavoratori,Persone,180.7531380753138,295.2054794520548,6.428571428571429,9.285714285714286,6.428571428571429,80.93002671017123
14,Efficientamento energetico e lotta al cambiamento climatico,Unknown,271.54811715481173,300.0,7.857142857142858,10.0,7.857142857142858,20.11851929735782
