,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Impatti,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
1,Valorizzazione e crescita del personale,Unknown,107.49506903353057,46.77551020408163,1.25,1.25,1.25,82.73708967568969
2,E sicurezza dei lavoratori,Unknown,152.85996055226823,113.14285714285714,2.5,2.5,2.5,54.1189298768314
3,Risk management,Trasversae,229.38856015779092,156.0,8.75,3.75,8.75,100.0
4,Collaborazioni commerciali,Unknown,176.92307692307693,175.59183673469386,5.0,5.0,5.0,1.8139614478343913
5,Anticorruzione,Trasversae,211.04536489151874,198.85714285714286,6.25,6.25,6.25,16.60779555855884
6,Performance economico finanziaria,Unknown,174.95069033530572,207.67346938775512,3.75,7.5,3.75,44.58839222638101
7,Etica ed integrit del business,Unknown,216.96252465483235,268.8979591836735,7.5,8.75,7.5,70.76775238153748
8,Solidit finanziaria,Unknown,300.0,300.0,10.0,10.0,10.0,0.0
