,Label,Kind,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Impegno,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
1,Quanto sono significativi gli impatti de la doria,Unknown,104.52961672473867,0.0,2.2222222222222223,0.0,2.2222222222222223,73.91360082089346
2,Alto,Unknown,270.20905923344947,107.30397422126745,5.555555555555555,2.2222222222222223,5.555555555555555,115.1912903018849
3,Economica,Unknown,300.0,126.31578947368422,10.0,3.3333333333333335,10.0,122.81328304818982
4,Alimentari,Unknown,287.45644599303137,148.22771213748658,8.88888888888889,4.444444444444445,8.88888888888889,98.44958184527276
5,Italianit,Unknown,191.02787456445992,148.22771213748658,3.3333333333333335,4.444444444444445,3.3333333333333335,30.26428508799853
6,Perdite e sprechi,Unknown,245.38327526132403,196.2406015037594,4.444444444444445,6.666666666666667,4.444444444444445,34.74911785961215
7,Qualit e sicurezza dei prodotti,Unknown,280.9233449477352,233.61976369495164,6.666666666666667,7.777777777777779,6.666666666666667,33.44868307825208
8,Azienda,Unknown,102.17770034843205,248.76476906552094,1.1111111111111112,8.88888888888889,1.1111111111111112,103.65271032411195
9,Impatti ambientali della produzione,Unknown,281.7073170731707,300.0,7.777777777777779,10.0,7.777777777777779,12.934880143656368
