,Label,Kind,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Ambientale,Unknown,281.7174515235457,0.0,5.0,0.0,5.0,199.20432035089163
1,Per il gruppo,Unknown,0.0,242.96028880866425,0.0,5.0,0.0,171.79886777564852
2,La matrice di materialit riportata di,Unknown,300.0,300.0,10.0,10.0,10.0,0.0
