,Label,Kind,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Qualit della vita collaboratori,Unknown,110.6951871657754,0.0,5.0,0.0,5.0,78.27331748963385
1,Valutazione e remunerazione dei,Unknown,0.0,68.9189189189189,0.0,2.5,0.0,48.733034919613395
2,Una banca vicina tutela dei diritti,Unknown,216.57754010695186,141.8918918918919,7.5,5.0,7.5,52.81072831018186
3,E dei lavoratori,Unknown,108.55614973262033,189.52702702702703,2.5,7.5,2.5,57.25505641349883
4,Banca del territorio,Unknown,300.0,300.0,10.0,10.0,10.0,0.0
