,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Processi di governance agroalimentare,Unknown,166.29834254143645,0.0,2.5,0.0,2.5,52.343479922126576
1,E nella gestione delle attivit,Unknown,300.0,35.59322033898303,10.0,2.5,10.0,100.0
2,E del settore,Unknown,0.0,74.23728813559322,0.0,5.0,0.0,7.624497370862976
3,Inclusivo e sicuro,Unknown,179.55801104972375,121.01694915254237,5.0,7.5,5.0,0.0
4,Lotta al cambiamento climatico e tutela dellambiente,Unknown,192.26519337016575,300.0,7.5,10.0,7.5,23.896035370535465
