,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Impiego delle risorse idriche,Aspetti relativi a Corporate Governance e Anticorruzione,0.0,0.0,0.0,0.0,0.0,0.0
1,Gestione,Impegno verso il pubblico,282.1693907875186,26.004228329809735,6.25,1.25,6.25,100.0
2,Dialogo con le parti sociali,Aspetti relativi a Corporate Governance e Anticorruzione,165.82466567607727,79.28118393234672,3.75,2.5,3.75,33.78425111104571
3,Attenzione ai temi delle pari opportunit,Impatti,111.44130757800892,131.28964059196616,1.25,3.75,1.25,7.748256173293693
4,Sviluppo,Aspetti relativi a Corporate Governance e Anticorruzione,291.97622585438336,143.97463002114165,8.75,5.0,8.75,57.775848368013655
5,Attenzione alle tematiche di salute e sicurezza creazione di valore per la comunit,Aspetti relativi a Corporate Governance e Anticorruzione,154.23476968796433,143.97463002114165,2.5,5.0,2.5,4.005282985549044
6,Della propriet pubblicit responsabile intelletuale,Impegno verso il pubblico,253.19465081723627,180.12684989429175,5.0,7.5,5.0,28.523707213703393
7,Libert di e compliance,Impegno verso il pubblico,282.1693907875186,254.3340380549683,6.25,8.75,7.5,10.86617417664891
8,Privacy e data security,Impegno verso il pubblico,300.0,300.0,10.0,10.0,10.0,0.0
