,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Sviluppo della mobilit sostenibile,Unknown,47.22838137472284,0.0,2.0,0.0,2.0,14.96628640351111
1,Tutela e rispetto dei diritti umani,Unknown,0.0,42.7947598253275,0.0,2.0,0.0,12.53327524003337
2,Olare,Unknown,300.0,97.81659388646287,10.0,4.0,10.0,100.0
3,Efficienza energetica,Unknown,153.82483370288247,224.89082969432314,4.0,6.0,4.0,28.04750721295623
4,Persone,Unknown,204.3791574279379,246.2882096069869,6.0,8.0,6.0,12.047230915553957
5,Gestione della della risorsa idrica,Unknown,280.04434589800445,300.0,8.0,10.0,8.0,0.0
