,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Diretti,Unknown,23.059006211180126,0.0,2.5,0.0,2.5,13.946979563213784
1,Impatti,Unknown,11.41304347826087,9.714285714285722,1.25,1.25,1.25,1.0274744540172258
2,I i di prodotti,Unknown,74.06832298136646,102.66666666666666,5.0,2.5,5.0,17.297385293528343
3,Welfare aziendale,Unknown,55.66770186335404,141.9047619047619,3.75,3.75,3.75,52.15951212181927
4,Etica e integrit nella gestione del business,Unknown,299.30124223602485,154.85714285714286,8.75,5.0,8.75,87.3653826888399
5,Per,Unknown,0.0,165.33333333333334,0.0,6.25,0.0,100.0
6,Formazione e sviluppo del personale,Unknown,224.53416149068323,167.61904761904762,7.5,7.5,7.5,34.42446403526347
7,Salute,Unknown,148.6024844720497,174.28571428571428,6.25,8.75,6.25,15.534211580845513
8,Del cliente,Unknown,300.0,300.0,10.0,10.0,10.0,0.0
