,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Sviluppo culturale ed economico,Unknown,264.8535564853556,0.0,7.5,0.0,7.5,100.0
1,Diritti umani,Unknown,0.0,8.450704225352126,0.0,2.5,0.0,0.0
2,Sostegno,Unknown,182.00836820083683,147.88732394366198,5.0,5.0,5.0,10.011721712749083
3,Gestione delle crisi e agilit della fornitura,Unknown,300.0,200.70422535211267,10.0,7.5,10.0,35.43060056540026
4,Gestione etica e trasparente,Unknown,151.8828451882845,300.0,2.5,10.0,2.5,54.471488657519146
