,Label,Kind,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Diretti,Unknown,23.059006211180126,0.0,2.5,0.0,2.5,16.305179659348184
1,Impatti,Unknown,11.41304347826087,9.714285714285722,1.25,1.25,1.25,1.2012031345001228
2,I i di prodotti,Unknown,74.06832298136646,102.66666666666666,5.0,2.5,5.0,20.222082750579247
3,Welfare aziendale,Unknown,55.66770186335404,141.9047619047619,3.75,3.75,3.75,60.978809944870946
4,Etica e integrit nella gestione del business,Unknown,299.30124223602485,154.85714285714286,8.75,5.0,8.75,102.13740217319102
5,Per,Unknown,0.0,165.33333333333334,0.0,6.25,0.0,116.90832115617586
6,Formazione e sviluppo del personale,Unknown,224.53416149068323,167.61904761904762,7.5,7.5,7.5,40.245062970638074
7,Salute,Unknown,148.6024844720497,174.28571428571428,6.25,8.75,6.25,18.160785964014735
8,Del cliente,Unknown,300.0,300.0,10.0,10.0,10.0,0.0
