,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Impatti ambientali diretti,Ambiente e climate change,34.52566096423017,0.0,1.4285714285714286,0.0,1.4285714285714286,38.16516658771515
1,Supporto alla comunit,Integrit nella condotta aziendale,0.0,78.87640449438203,0.0,1.4285714285714286,0.0,91.60082109584718
2,Tutela,Unknown,162.36391912908243,116.29213483146069,2.857142857142857,2.857142857142857,2.857142857142857,52.07642507500395
3,Diversity e inclusion delle persone del gruppo,Ambiente e climate change,167.49611197511663,201.91011235955057,4.285714285714286,4.285714285714286,4.285714285714286,38.03063319122061
4,Transizione verso,Ambiente e climate change,233.74805598755833,230.8988764044944,8.571428571428571,5.714285714285714,8.571428571428571,0.0
5,Integrit nella condotta aziendale,Unknown,214.1524105754277,253.82022471910113,5.714285714285714,7.142857142857143,5.714285714285714,44.360650560555825
6,Inclusione finanziaria investimenti e assicurazione,Integrit nella condotta aziendale,300.0,254.1573033707865,10.0,8.571428571428571,10.0,51.80041054792359
7,Valore e solidit del gruppo,Integrit nella condotta aziendale,214.1524105754277,300.0,5.714285714285714,10.0,7.142857142857143,100.0
