,Label,Kind,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Bassa,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
1,Rilevanza per lazienda,Unknown,181.23249299719888,3.3854166666666856,1.6666666666666667,1.6666666666666667,1.6666666666666667,125.75687368752084
2,Salute e sicur,Unknown,282.3529411764706,156.25,8.333333333333334,3.3333333333333335,8.333333333333334,89.16824483345067
3,One dei,Unknown,259.3837535014006,177.08333333333331,6.666666666666667,5.0,6.666666666666667,58.195185195342454
4,Fornitori secondo,Unknown,247.33893557422968,178.125,5.0,6.666666666666667,5.0,48.94164319714662
5,Criter,Unknown,191.8767507002801,186.97916666666669,3.3333333333333335,8.333333333333334,3.3333333333333335,3.463114881599008
6,Sviluppo delle competenze,Unknown,300.0,300.0,10.0,10.0,10.0,0.0
