,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Relazione con la catena di fornitura,Societ,0.0,0.0,0.0,0.0,0.0,0.0
1,Progessi,Societ,22.31404958677686,115.87078651685394,1.25,1.25,1.25,37.22799880280676
2,Finanza sostenibile,Societ,207.27272727272728,140.73033707865167,7.5,2.5,7.5,26.47847823436167
3,Dei,Ambiente e Climate Change,44.62809917355372,161.79775280898878,5.0,3.75,5.0,46.624025894846525
4,Benessere qualit e soddisfazione,Societ,294.0495867768595,198.45505617977528,8.75,5.0,8.75,38.03887552515768
5,Innovazione impatti ambientali diretti,Ambiente e Climate Change,34.21487603305785,265.0280898876405,2.5,6.25,2.5,91.8449523893982
6,Sostegno,Societ,300.0,287.7808988764045,10.0,7.5,10.0,4.86221192537496
7,Delle diversit,Persone,43.63636363636363,294.9438202247191,3.75,8.75,3.75,100.0
8,Digitalizzazione,Societ,159.17355371900825,300.0,6.25,10.0,6.25,56.03751205507089
