,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Gestione del capitale umano,Unknown,38.33116036505867,0.0,2.0,0.0,2.0,4.951073903794699
1,Sviluppo del territorio e delle comunit locali,Unknown,222.5554106910039,1.410658307210042,8.0,2.0,8.0,86.8002470321828
2,Responsabilit,Unknown,0.0,27.272727272727252,0.0,4.0,0.0,0.0
3,Continuit del business salute e sicurezza,Unknown,112.84224250325946,34.326018808777405,4.0,6.0,4.0,22.942702257599688
4,Salute e sicurezza,Unknown,300.0,49.3730407523511,10.0,8.0,10.0,100.0
5,Matrice di materialit,Unknown,123.01173402868318,300.0,6.0,10.0,6.0,67.0305359225966
