,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Sviluppo,Unknown,221.29086336965634,0.0,5.714285714285714,0.0,5.714285714285714,100.0
1,Balance e wellbeing,STAKEHOLDER,150.1257334450964,66.16052060737528,1.4285714285714286,1.4285714285714286,1.4285714285714286,36.57367827887782
2,Diversity,STAKEHOLDER,194.38390611902767,79.39262472885034,2.857142857142857,2.857142857142857,2.857142857142857,50.90362609363112
3,Gestione responsabile della supply chain,Unknown,0.0,89.80477223427332,0.0,4.285714285714286,0.0,39.27078382005411
4,Credito per la,Unknown,300.0,245.3362255965293,10.0,5.714285714285714,10.0,23.040281904467577
5,Innovazione,Unknown,255.74182732606874,260.52060737527114,8.571428571428571,7.142857142857143,8.571428571428571,0.0
6,E una finanza sostenibili,Unknown,210.2263202011735,285.6832971800434,4.285714285714286,8.571428571428571,4.285714285714286,32.64399651314541
7,Customer ripresa del paese,Unknown,241.65968147527244,300.0,7.142857142857143,10.0,7.142857142857143,24.738359935436083
