,Label,Kind,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Complessit normativa,Unknown,277.2289156626506,0.0,8.461538461538462,0.0,8.461538461538462,196.0304462060537
1,Delle comunit,Unknown,110.60240963855422,0.0,1.5384615384615385,0.0,1.5384615384615385,78.20771387099406
2,Coinvolgimento e sviluppo della,Unknown,228.79518072289156,39.07563025210084,6.153846153846154,1.5384615384615385,6.153846153846154,134.15198066155958
3,Attrazione dei talenti e sviluppo del capitale umano rapporti con i business partner trasparenza nella,Unknown,201.6867469879518,64.70588235294119,5.384615384615385,2.307692307692308,5.384615384615385,96.86009827621254
4,Crisi del debito e volatilit dei mercati finanziari investimenti responsabili,Unknown,152.16867469879517,80.25210084033614,3.076923076923077,3.076923076923077,3.076923076923077,50.85269705501957
5,Gestione responsabile dei dati personali,Unknown,139.87951807228916,124.78991596638656,2.307692307692308,3.8461538461538463,2.307692307692308,10.669959974490535
6,Sviluppo di prodotti e servizi,Unknown,249.3975903614458,158.8235294117647,7.6923076923076925,4.615384615384616,7.6923076923076925,64.04553269712316
7,Prevenzione della corruzione,Unknown,16.626506024096386,178.99159663865547,0.7692307692307693,5.384615384615385,0.7692307692307693,114.80945660152298
8,Coinvolgimento dei dipendenti e promozione di una cultura condivisa,Unknown,245.78313253012047,207.98319327731093,6.923076923076923,6.153846153846154,6.923076923076923,26.72859337410118
9,Inclusione e pari opportunit,Unknown,189.75903614457832,209.24369747899158,3.8461538461538463,6.923076923076923,3.8461538461538463,13.77773615868694
10,Giusta remunerazione e incentivi,Unknown,197.710843373494,240.3361344537815,4.615384615384616,7.6923076923076925,4.615384615384616,30.140632372921765
11,Demografico,Unknown,300.0,246.21848739495798,10.0,8.461538461538462,10.0,38.029272265494996
12,Creazione di occupazione,Unknown,0.0,279.83193277310926,0.0,9.230769230769232,0.0,197.87105725640365
13,Qualit della customer experience,Unknown,297.4698795180723,300.0,9.230769230769232,10.0,9.230769230769232,1.7890653499900695
