,Label,GroupRel,StakeRel
0,"Efficientamento energetico e lotta al cambiamento climatico del prodotto e attenzione Gestlone delle al consumatore risorse valorizzazione e rtfiuti Benessere degli animali Trasparenza, tracciabilit e circolarit della filiera Educazione e sensibilizzazione del consumatore Protezione della privacy",153.5966149506347,157.44
1,Protezione della privacy,0.0,300.0
2,valorizzazione e rtfiuti,300.0,78.72
3,Gestlone delle risorse,137.09449929478137,56.16
4,del prodotto e attenzione al consumatore,285.6135401974612,37.92
5,Efficientamento energetico e lotta al cambiamento climatico,273.76586741889986,0.0
